经度,纬度,位置,震级
-150.7585,61.7591,"M 1.6 - 27 km NNW of Susitna, Alaska",1.6
-153.4716,59.3152,"M 1.6 - 63 km SE of Pedro Bay, Alaska",1.6
-148.7531,63.1633,"M 2.2 - 27 km SSE of Cantwell, Alaska",2.2
-159.6267,54.5612,"M 3.7 - 102 km SSE of Sand Point, Alaska",3.7
-155.248336791992,18.7551670074463,"M 2.9 - 49 km SE of Naalehu, Hawaii",2.92000008
-149.173,62.3994,"M 1.4 - 44 km NE of Susitna North, Alaska",1.4
22.0768,36.3592,"M 4.6 - 49 km SSE of Koróni, Greece",4.6
129.5079,-6.686,M 4.5 - Banda Sea,4.5
-150.5896,62.9779,"M 1.9 - 54 km N of Petersville, Alaska",1.9
-145.9089,63.671,"M 1.8 - 34 km SSW of Fort Greely, Alaska",1.8
-141.4547,60.2138,"M 1.7 - 121 km NW of Yakutat, Alaska",1.7
127.3132,1.7827,"M 4.1 - 77 km W of Tobelo, Indonesia",4.1
-148.8272,62.8383,"M 1.6 - 61 km S of Cantwell, Alaska",1.6
-117.7935,38.1911,"M 1.2 - 35 km SE of Mina, Nevada",1.2
140.7506,10.6172,"M 5.1 - 97 km NNE of Fais, Micronesia",5.1
-117.153,34.0223333,"M 1.0 - 5km SE of Redlands, CA",1.02
-145.4421,65.6749,"M 1.8 - 31 km WNW of Central, Alaska",1.8
-121.2634964,36.6408348,"M 2.8 - 16km NW of Pinnacles, CA",2.78
-66.9111666666667,17.9403333333333,"M 2.3 - 3 km S of Guánica, Puerto Rico",2.29
-117.2585,34.0358333,"M 1.0 - 1km S of Loma Linda, CA",0.98
-155.6147,57.0429,"M 2.5 - 88 km W of Akhiok, Alaska",2.5
-116.7213333,34.1478333,"M 1.8 - 17km SE of Big Bear City, CA",1.79
-149.8307,65.7868,"M 1.4 - 35 km NNE of Rampart, Alaska",1.4
-122.7611694,38.788166,"M 1.1 - 1km NNW of The Geysers, CA",1.13
-116.5603333,33.4873333,"M 1.1 - 13km SE of Anza, CA",1.13
120.5613,23.1392,"M 4.4 - 10 km E of Yujing, Taiwan",4.4
-119.6498,40.133,"M 1.3 - 20 km NNW of Sutcliffe, Nevada",1.3
-122.8125,38.8330002,"M 1.2 - 8km W of Cobb, CA",1.18
-148.1118,61.3358,"M 1.4 - 44 km ESE of Knik River, Alaska",1.4
-116.7225,34.1458333,"M 1.5 - 17km NW of Morongo Valley, CA",1.49
-149.5698,56.4973,"M 2.8 - 206 km SE of Chiniak, Alaska",2.8
-117.6645,33.9961667,"M 1.1 - 3km SE of Chino, CA",1.14
-122.8128357,38.8375015,"M 1.2 - 8km WNW of Cobb, CA",1.22
-117.8823,38.0322,"M 1.8 - 37 km NW of Silver Peak, Nevada",1.8
-119.85066666666667,46.6085,"M 1.7 - 9 km SSE of Desert Aire, Washington",1.6600000000000001
-152.1079,60.2597,"M 1.9 - 33 km NW of Ninilchik, Alaska",1.9
169.9229,-22.4542,"M 4.6 - 233 km ESE of Tadine, New Caledonia",4.6
-121.6484985,37.2714996,"M 1.4 - 16km N of Morgan Hill, CA",1.43
170.0243,-22.5126,"M 4.6 - 245 km ESE of Tadine, New Caledonia",4.6
-66.7635,18.0228,"M 3.1 - 0 km NE of Magas Arriba, Puerto Rico",3.12
-92.4289,14.0047,"M 4.5 - 61 km SSW of Ocós, Guatemala",4.5
-155.164993286133,18.7840003967285,"M 2.2 - 53 km SE of Naalehu, Hawaii",2.19000006
70.9912,36.5928,"M 4.3 - 33 km SSE of Jurm, Afghanistan",4.3
-148.6377,62.7581,"M 2.5 - 72 km SSE of Cantwell, Alaska",2.5
-122.7259979,38.7890015,"M 1.2 - 3km ENE of The Geysers, CA",1.16
-155.468338012695,19.1723327636719,"M 2.2 - 3 km SSE of Pāhala, Hawaii",2.24000001
-66.9825,17.9616666666667,"M 2.0 - 6 km ESE of La Parguera, Puerto Rico",2.02
-115.2618333,32.3988333,"M 1.9 - 8km NW of Delta, B.C., MX",1.91
-151.0452,62.9998,"M 1.8 - 57 km NNW of Petersville, Alaska",1.8
-97.87510681,35.40652466,"M 2.3 - 6 km ENE of Union City, Oklahoma",2.31
-155.471664428711,19.2148342132568,"M 2.1 - 1 km NNE of Pāhala, Hawaii",2.11999989
-106.8323,34.4295,"M 3.0 - 4 km SSW of Abeytas, New Mexico",3.0
-155.249328613281,18.7806663513184,"M 2.8 - 47 km SE of Naalehu, Hawaii",2.75
-121.6518326,37.6073341,"M 1.1 - 13km SE of Livermore, CA",1.1
-122.809166,38.8364983,"M 1.0 - 8km WNW of Cobb, CA",1.04
-155.20133972168,18.844165802002,"M 2.1 - 46 km ESE of Naalehu, Hawaii",2.06999993
-155.196838378906,18.8145008087158,"M 2.1 - 49 km SE of Naalehu, Hawaii",2.05999994
-25.2674,-57.4218,M 5.2 - South Sandwich Islands region,5.2
-155.201507568359,18.871000289917,"M 2.5 - 45 km ESE of Naalehu, Hawaii",2.50999999
-66.0613333333333,18.053,"M 3.0 - 2 km N of Yaurel, Puerto Rico",3.0
-118.6138306,37.3801651,"M 1.3 - 4km SSW of Round Valley, CA",1.3
-173.0821,-15.7921,"M 4.8 - 78 km ENE of Hihifo, Tonga",4.8
-118.3441667,33.851,"M 1.7 - 2km N of Torrance, CA",1.66
-153.1899,59.4819,"M 2.5 - 61 km ESE of Pedro Bay, Alaska",2.5
-90.2955,-41.1132,M 5.0 - southeast of Easter Island,5.0
-66.8163333333333,17.9673333333333,"M 2.2 - 2 km S of Indios, Puerto Rico",2.15
-155.223831176758,18.8893337249756,"M 2.8 - 42 km ESE of Naalehu, Hawaii",2.75999999
-153.0568,59.7672,"M 1.6 - 58 km E of Pedro Bay, Alaska",1.6
170.0847,-22.7765,"M 4.8 - 264 km ESE of Tadine, New Caledonia",4.8
-119.851,46.608666666666664,"M 2.2 - 9 km SSE of Desert Aire, Washington",2.21
126.6017,9.3085,"M 4.8 - 45 km E of Cortes, Philippines",4.8
170.0666,-22.9375,"M 4.8 - 265 km E of Vao, New Caledonia",4.8
-117.8606667,33.9833333,"M 1.1 - 4km S of Walnut, CA",1.07
-118.0525,33.9591667,"M 1.2 - 1km W of South Whittier, CA",1.17
-119.0627,39.571,"M 1.4 - 16 km ESE of Fernley, Nevada",1.4
-122.8151703,38.831665,"M 1.2 - 8km NW of The Geysers, CA",1.22
-122.4605026,38.1459999,"M 1.4 - 6km NE of Black Point-Green Point, CA",1.41
-152.0841,60.0022,"M 1.6 - 20 km WNW of Happy Valley, Alaska",1.6
-148.0019,64.4417,"M 1.1 - 42 km SSW of South Van Horn, Alaska",1.1
-97.87393951,35.42264175,"M 2.2 - 7 km ENE of Union City, Oklahoma",2.22
-152.4105,61.0573,"M 1.0 - 68 km W of Tyonek, Alaska",1.0
155.733,49.8554,"M 4.4 - 95 km SSW of Severo-Kuril’sk, Russia",4.4
-76.9306,-4.4681,"M 4.5 - 49 km NW of Barranca, Peru",4.5
-117.9906,38.1469,"M 1.2 - 28 km SSE of Mina, Nevada",1.2
-106.8794,34.4469,"M 3.0 - 6 km WSW of Abeytas, New Mexico",3.0
-151.1797,60.1086,"M 1.8 - 18 km SE of Clam Gulch, Alaska",1.8
-121.9348297,38.6049995,"M 1.6 - 9km NNE of Winters, CA",1.63
-117.797,38.1895,"M 2.8 - 35 km SE of Mina, Nevada",2.8
-116.5668333,33.4828333,"M 2.4 - 13km SE of Anza, CA",2.43
144.3998,49.4355,"M 4.1 - 97 km ENE of Poronaysk, Russia",4.1
-151.7855,61.363,"M 1.4 - 45 km WNW of Beluga, Alaska",1.4
-117.54,35.6796667,"M 1.3 - 14km ENE of Ridgecrest, CA",1.25
-66.8848333333333,17.9166666666667,"M 1.6 - 6 km SSE of Guánica, Puerto Rico",1.6
-117.5738333,35.634,"M 1.4 - 9km E of Ridgecrest, CA",1.39
126.5138,26.8575,"M 4.6 - 136 km WNW of Naha, Japan",4.6
-118.9135,34.8471667,"M 1.5 - 4km NE of Frazier Park, CA",1.47
-155.495498657227,19.2016658782959,"M 1.7 - 1 km W of Pāhala, Hawaii",1.72000003
126.6103,9.1837,"M 5.6 - 44 km ENE of La Paz, Philippines",5.6
-146.8972,61.2685,"M 2.4 - 33 km WNW of Valdez, Alaska",2.4
-118.9733333,34.8325,"M 1.2 - 3km WNW of Frazier Park, CA",1.24
-117.78,33.9111667,"M 2.0 - 4km NE of Yorba Linda, CA",1.95
-147.7583,60.1066,"M 2.2 - 14 km ENE of Chenega, Alaska",2.2
69.8183,36.008,"M 4.2 - 62 km E of Nahrīn, Afghanistan",4.2
-152.79,60.0076,"M 1.0 - 59 km W of Happy Valley, Alaska",1.0
-117.983,38.1642,"M 1.2 - 27 km SSE of Mina, Nevada",1.2
-155.473327636719,19.1723327636719,"M 1.7 - 3 km S of Pāhala, Hawaii",1.72000003
-67.0445,17.9766666666667,M 1.9 - Puerto Rico region,1.94
-150.2319,63.1835,"M 1.4 - 68 km WSW of Cantwell, Alaska",1.4
-67.0065,17.9313333333333,"M 1.9 - 6 km SE of La Parguera, Puerto Rico",1.91
99.8701,0.7303,"M 4.4 - 97 km SE of Padangsidempuan, Indonesia",4.4
-117.8619,38.229,"M 1.7 - 28 km SE of Mina, Nevada",1.7
-150.5417,63.2786,"M 1.7 - 65 km ESE of Denali National Park, Alaska",1.7
-66.7698333333333,18.0216666666667,"M 2.3 - 0 km N of Magas Arriba, Puerto Rico",2.32
-155.369003295898,19.15016746521,"M 2.2 - 12 km ESE of Pāhala, Hawaii",2.20000005
-116.751,33.8415,"M 1.2 - 9km SSE of Cabazon, CA",1.2
